# Batch 21 - envreg: EPA Envirofacts tables the tree did not carry, as ENTITY
# PIVOTS rather than bulk head-of-table reads.
#
# SCOPE. The tree already reaches data.epa.gov/efservice for FRS, TRI facility,
# GHG and a handful of `rows/0:0` shape probes. What it did not carry is the
# whole SDWIS drinking-water model (public water systems, their facilities,
# their treatment trains, their violations, their enforcement actions and their
# lead-and-copper sampling), the TRI child tables behind a reporting form, the
# PCS/NPDES permit history tables, and the FRS cross-reference tables. Each
# table below was confirmed to exist by fetching it; the ones that answered
# `{"error": "<table>: The table is not available."}` are recorded as rejects
# rather than written from the data model documentation - rmp_facility,
# sems_active_sites, rcra_handler, icis_case, tri_submission and eleven others
# are documented Envirofacts tables that this REST service does not serve.
#
# PAGINATION. Envirofacts expresses the result window as a PATH segment
# (/rows/<start>:<end>), not as a query parameter, so there is no parameter for
# the engine to increment and every row declares `pagination_ok` saying so.
# Each row asks for rows 0:9999. Every keyed query measured here returned far
# fewer than that: the largest was violation/pwsid with 40 KB of records for
# one water system.
#
# TRAP measured here, and it is the one that matters: Envirofacts SILENTLY
# IGNORES a filter on a column the table does not have and answers HTTP 200
# with the unfiltered table. `tri_reporting_form/facility_name/CONTAINING/DOW`
# returns 10,000 records - the window cap - whose first record is byte-identical
# to the first record of the unfiltered table, because tri_reporting_form has no
# facility_name column at all. That row was written, probed PASS, and would have
# answered every query with the same ten thousand unrelated forms. It is now
# keyed on tri_facility_id, which was verified to filter (66 records for a real
# id, [] for a nonexistent one). Every other row's filter column was checked the
# same way: query a value that does not exist and confirm the answer is empty.
#
# REMOVED for cause: icis_facility_interest by facility name. A CONTAINING query
# on a common string returns 16.9 MB in 26 s and hits the 10,000-row window cap
# with no way to page past it, a BEGINNING query takes 36 s - past the engine's
# 30 s HTTP timeout - and one of the four measurement fetches came back as
# malformed JSON. Slow, capped and intermittently invalid is not a shippable
# row. It is in the rejects file.
#
# Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
EPA_SDWIS_VIOL_ENF_LINK|json|numeric|environment|enforcement-record|epa,drinking-water,sdwis,compliance,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - violation to enforcement linkage|EPA 違反 執行措置 対応表|https://data.epa.gov/efservice/violation_enf_assoc/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/violation_enf_assoc/pwsid/010106001/rows/0:9999/JSON|The join table that says which enforcement action answered which violation for one water system stamped with the EPA submission quarter. Without it a violation list and an enforcement list are two piles of dates. With it you can see which violations were never acted on|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=violation_id;id_keys=violation_id
EPA_TRI_FORM_BY_FACILITY|json|any|environment|emissions-record|epa,tri,toxics,emissions,usa|https://enviro.epa.gov/envirofacts|EPA TRI - reporting forms filed by a facility|EPA 有害物質排出報告 施設別|https://data.epa.gov/efservice/tri_reporting_form/tri_facility_id/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/tri_reporting_form/tri_facility_id/15902CCKRN75BRI/rows/0:9999/JSON|Every Toxics Release Inventory reporting form one facility has ever filed keyed on its TRI facility id - the reporting year the chemical the form type the active status and the document control number, running back to the early years of the programme. The document control number is the key the three TRI quantity tables below are pivoted on so this row is the entry point to a facility's whole release history|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment\; a facility's whole filing history measured at 66 forms;title_keys=tri_facility_id;id_keys=doc_ctrl_num;date_keys=reporting_year
EPA_TRI_RELEASE_QTY|json|numeric|environment|emissions-record|epa,tri,toxics,releases,usa|https://enviro.epa.gov/envirofacts|EPA TRI - release quantities by form|EPA 有害物質 環境放出量|https://data.epa.gov/efservice/tri_release_qty/doc_ctrl_num/{qd}/rows/0:9999/JSON|https://data.epa.gov/efservice/tri_release_qty/doc_ctrl_num/1300140000011/rows/0:9999/JSON|The quantities one TRI form reported released to each environmental medium - fugitive air stack air surface water underground injection and land disposal - with the release range code the basis of estimate and the total. The medium-by-medium split is what distinguishes a permitted stack discharge from an unpermitted land release|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=environmental_medium;id_keys=doc_ctrl_num
EPA_TRI_TRANSFER_QTY|json|numeric|environment|emissions-record|epa,tri,toxics,waste-transfer,usa|https://enviro.epa.gov/envirofacts|EPA TRI - off-site transfer quantities by form|EPA 有害物質 施設外移動量|https://data.epa.gov/efservice/tri_transfer_qty/doc_ctrl_num/{qd}/rows/0:9999/JSON|https://data.epa.gov/efservice/tri_transfer_qty/doc_ctrl_num/1300140000011/rows/0:9999/JSON|Where a facility sent its toxic waste rather than releasing it on site - the transfer location number the waste management type code the quantity and the range code. Off-site transfer is how a release becomes somebody else's release and the receiving location number resolves to a named facility|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=type_of_waste_management;id_keys=doc_ctrl_num
EPA_TRI_CHEM_ACTIVITY|json|numeric|environment|emissions-record|epa,tri,toxics,chemical-use,usa|https://enviro.epa.gov/envirofacts|EPA TRI - chemical activity and use by form|EPA 有害物質 取扱区分|https://data.epa.gov/efservice/tri_chem_activity/doc_ctrl_num/{qd}/rows/0:9999/JSON|https://data.epa.gov/efservice/tri_chem_activity/doc_ctrl_num/1300140000011/rows/0:9999/JSON|What a facility actually does with a reported chemical - whether it produces imports processes formulates uses as a reactant sells or generates it as a byproduct or an impurity. This distinguishes a manufacturer of a substance from a downstream user of it which the release quantities alone never show|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=doc_ctrl_num;id_keys=doc_ctrl_num
EPA_PCS_PERMIT_FACILITY|json|any|environment|permit-record|epa,npdes,water-discharge,permit,usa|https://enviro.epa.gov/envirofacts|EPA PCS - NPDES permit facility|EPA NPDES 許可施設|https://data.epa.gov/efservice/pcs_permit_facility/npdes/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/pcs_permit_facility/npdes/AK0000272/rows/0:9999/JSON|The permitted discharger behind an NPDES permit number - the facility name and address the receiving stream the permit issue and expiry dates the major or minor rating and the responsible official. NPDES is the licence to discharge to United States surface waters and the permit number is the identifier every enforcement record uses|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=name_1,name_2;id_keys=npdes
EPA_PCS_INSPECTION|json|any|environment|inspection-record|epa,npdes,inspection,compliance,usa|https://enviro.epa.gov/envirofacts|EPA PCS - NPDES inspection history|EPA NPDES 立入検査履歴|https://data.epa.gov/efservice/pcs_inspection/npdes/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/pcs_inspection/npdes/AK0000272/rows/0:9999/JSON|Every recorded inspection of one NPDES-permitted discharger with the inspection date the inspection type and the inspecting agency code. An inspection history running back to the late nineteen-seventies is the longest continuous compliance record the United States publishes for an industrial site|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=insp_type;id_keys=npdes;date_keys=insp_date
EPA_PCS_PERMIT_EVENT|json|any|environment|permit-record|epa,npdes,permit-history,usa|https://enviro.epa.gov/envirofacts|EPA PCS - NPDES permit event history|EPA NPDES 許可イベント履歴|https://data.epa.gov/efservice/pcs_permit_event/npdes/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/pcs_permit_event/npdes/AK0000272/rows/0:9999/JSON|The tracked lifecycle of one NPDES permit - application received draft issued public notice permit effective permit expired reissued terminated - each with its actual date. A permit that lapsed and was never reissued while the facility kept operating is visible only here|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=tracking_event_code;id_keys=npdes;date_keys=event_actual_date
EPA_PCS_ENFOR_ACTION|json|any|environment|enforcement-record|epa,npdes,enforcement,usa|https://enviro.epa.gov/envirofacts|EPA PCS - NPDES enforcement actions|EPA NPDES 執行措置|https://data.epa.gov/efservice/pcs_enfor_action/npdes/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/pcs_enfor_action/npdes/AK0000272/rows/0:9999/JSON|Enforcement actions taken against one NPDES permit holder - the action code the action type federal or state the action date the current status and the docket number. This is the water-discharge equivalent of a criminal record for an industrial facility|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=enfor_action_code;id_keys=npdes;date_keys=enfor_action_date
EPA_ICIS_PERMIT|json|any|environment|permit-record|epa,icis,npdes,permit,usa|https://enviro.epa.gov/envirofacts|EPA ICIS - NPDES permit record|EPA ICIS NPDES許可記録|https://data.epa.gov/efservice/icis_permit/external_permit_nmbr/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/icis_permit/external_permit_nmbr/AK0000272/rows/0:9999/JSON|The modern ICIS permit record for one NPDES permit number - the application received date the effective and expiration dates the modification type the major rating the actual average flow the receiving publicly owned treatment works and the electronic reporting waiver type. The current authoritative permit state where the PCS tables carry the history|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=external_permit_nmbr;id_keys=npdes_id,external_permit_nmbr
EPA_FRS_NAICS|json|any|environment|reference-record|epa,frs,naics,industry,usa|https://enviro.epa.gov/envirofacts|EPA FRS - NAICS codes for a program facility|EPA FRS 施設NAICSコード|https://data.epa.gov/efservice/frs_naics/pgm_sys_id/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/frs_naics/pgm_sys_id/170000001192/rows/0:9999/JSON|The industrial classification every EPA program assigned to one facility keyed on the program system identifier with the primary indicator and the source program that supplied the code. Programs disagree about what a site does and the disagreement itself is informative - it is how a facility ends up regulated as one industry and inspected as another|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=naics_code;id_keys=naics_uin,pgm_sys_id
EPA_FRS_SIC|json|any|environment|reference-record|epa,frs,sic,industry,usa|https://enviro.epa.gov/envirofacts|EPA FRS - SIC codes for a program facility|EPA FRS 施設SICコード|https://data.epa.gov/efservice/frs_sic/pgm_sys_id/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/frs_sic/pgm_sys_id/170000001192/rows/0:9999/JSON|The older Standard Industrial Classification codes recorded against one facility by each EPA program with the primary indicator and the supplying source. SIC is still the classification a large amount of historical United States regulatory and financial data is keyed on so the SIC to NAICS pair is a necessary bridge|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=sic_code;id_keys=sic_uin,pgm_sys_id
EPA_FRS_INTEREST|json|any|environment|permit-record|epa,frs,regulatory-interest,usa|https://enviro.epa.gov/envirofacts|EPA FRS - regulatory interests for a program facility|EPA FRS 規制関与区分|https://data.epa.gov/efservice/frs_interest/pgm_sys_id/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/frs_interest/pgm_sys_id/330015638009/rows/0:9999/JSON|Why EPA holds a record for this facility at all - the interest type such as air major water permit hazardous waste generator or state master record whether the interest is federal or state and the start and end dates of that regulatory relationship. The set of interests is the compact answer to which environmental regimes a site is inside|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=interest_type;id_keys=pgm_sys_id;date_keys=start_date
