id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description
gov-fed-press-orders	https://www.federalreserve.gov/feeds/press_orders.xml	rss	15	Federal Reserve — Orders on Banking Applications	FRB 銀行申請認可命令	finance	regulator	en	usa,fed,mergers,applications	3600	Federal Reserve orders approving or denying bank mergers, acquisitions and formations.
gov-fed-press-other	https://www.federalreserve.gov/feeds/press_other.xml	rss	15	Federal Reserve — Other Announcements	FRB その他発表	finance	regulator	en	usa,fed,announcements	3600	Federal Reserve announcements outside monetary policy and supervision.
gov-fed-h15	https://www.federalreserve.gov/feeds/h15.xml	rss	79	Federal Reserve H.15 — Selected Interest Rates	FRB H.15 主要金利	finance	statistics	en	usa,fed,rates,timeseries	86400	Daily release of selected US interest rates including Treasury yields and SOFR-linked series.
gov-fed-h41	https://www.federalreserve.gov/feeds/h41.xml	rss	120	Federal Reserve H.4.1 — Balance Sheet	FRB H.4.1 バランスシート	finance	statistics	en	usa,fed,balancesheet,timeseries	86400	Weekly Federal Reserve balance sheet: factors affecting reserve balances.
gov-fed-h8	https://www.federalreserve.gov/feeds/h8.xml	rss	72	Federal Reserve H.8 — Commercial Bank Assets	FRB H.8 商業銀行資産	finance	statistics	en	usa,fed,banking,timeseries	86400	Weekly assets and liabilities of US commercial banks.
gov-fed-g19	https://www.federalreserve.gov/feeds/g19.xml	rss	44	Federal Reserve G.19 — Consumer Credit	FRB G.19 消費者信用	finance	statistics	en	usa,fed,credit,timeseries	86400	Monthly US consumer credit outstanding by type and holder.
gov-fed-z1	https://www.federalreserve.gov/feeds/z1.xml	rss	261	Federal Reserve Z.1 — Financial Accounts	FRB Z.1 資金循環統計	finance	statistics	en	usa,fed,flowoffunds,timeseries	86400	Financial Accounts of the United States — sectoral balance sheets and flow of funds.
gov-fed-feds-papers	https://www.federalreserve.gov/feeds/feds.xml	rss	15	Federal Reserve — FEDS Working Papers	FRB FEDS ワーキングペーパー	finance	statistics	en	usa,fed,research	86400	Finance and Economics Discussion Series research papers from the Federal Reserve Board.
gov-fed-ifdp-papers	https://www.federalreserve.gov/feeds/ifdp.xml	rss	15	Federal Reserve — International Finance Papers	FRB 国際金融討論論文	finance	statistics	en	usa,fed,research,international	86400	International Finance Discussion Papers from the Federal Reserve Board.
gov-treasury-fiscaldata-debt	https://api.fiscaldata.treasury.gov/services/api/fiscal_service/v2/accounting/od/debt_to_penny?page[size]=50&sort=-record_date	json:data	50	US Treasury — Debt to the Penny	米国財務省 国債残高日次	finance	statistics	en	usa,treasury,debt,timeseries	86400	Daily outstanding US public debt, split into debt held by the public and intragovernmental holdings.
gov-treasury-fiscaldata-rates	https://api.fiscaldata.treasury.gov/services/api/fiscal_service/v2/accounting/od/avg_interest_rates?page[size]=50&sort=-record_date	json:data	50	US Treasury — Average Interest Rates	米国財務省 平均利率	finance	statistics	en	usa,treasury,rates,timeseries	86400	Monthly average interest rates on US Treasury marketable and non-marketable securities.
gov-treasury-fiscaldata-mspd	https://api.fiscaldata.treasury.gov/services/api/fiscal_service/v1/debt/mspd/mspd_table_1?page[size]=50&sort=-record_date	json:data	50	US Treasury — Monthly Statement of Public Debt	米国財務省 月次公債明細	finance	statistics	en	usa,treasury,debt,timeseries	86400	Monthly Statement of the Public Debt: summary of US Treasury securities outstanding.
gov-treasury-fiscaldata-exchange	https://api.fiscaldata.treasury.gov/services/api/fiscal_service/v1/accounting/od/rates_of_exchange?page[size]=50&sort=-record_date	json:data	50	US Treasury — Official Rates of Exchange	米国財務省 公定為替レート	finance	statistics	en	usa,treasury,fx,timeseries	86400	Quarterly US Treasury reporting rates of exchange used for federal accounting.
gov-usaspending-agencies	https://api.usaspending.gov/api/v2/references/toptier_agencies/	json:results	111	USAspending — Federal Agency Budgets	USAspending 連邦機関予算	government	transparency	en	usa,spending,budget,transparency	86400	Budgetary resources and obligations for every top-tier US federal agency.
gov-usaspending-defcodes	https://api.usaspending.gov/api/v2/references/def_codes/	json:codes	52	USAspending — Disaster and Emergency Codes	USAspending 災害・緊急支出コード	government	transparency	en	usa,spending,disaster,transparency	86400	Disaster Emergency Fund codes used to tag US emergency and supplemental spending.
gov-usaspending-budgetfunctions	https://api.usaspending.gov/api/v2/budget_functions/list_budget_functions/	json:results	20	USAspending — Budget Functions	USAspending 予算機能分類	government	transparency	en	usa,spending,budget	86400	Budget function and sub-function taxonomy used to classify all US federal spending.
gov-cfpb-complaints	https://www.consumerfinance.gov/data-research/consumer-complaints/search/api/v1/?size=50&no_aggs=true	json:hits.hits	50	CFPB — Consumer Complaint Database	米国CFPB 消費者苦情DB	finance	regulator	en	usa,cfpb,complaints,consumer	3600	Consumer complaints filed against US financial firms, with product, issue, company and state.
gov-cfpb-newsroom	https://www.consumerfinance.gov/about-us/newsroom/feed/	rss	20	CFPB — Newsroom	米国CFPB 報道発表	finance	regulator	en	usa,cfpb,enforcement,consumer	3600	Press releases and enforcement announcements from the US Consumer Financial Protection Bureau.
gov-justice-news	https://www.justice.gov/news/rss	rss	25	US Department of Justice — All News	米国司法省 ニュース	legal	courts	en	usa,doj,prosecution,enforcement	3600	All Department of Justice news items: indictments, settlements, policy and leadership announcements.
gov-fbi-wanted	https://api.fbi.gov/wanted/v1/list	json:items	20	FBI — Wanted Persons API	FBI 指名手配リスト	legal	watchlist	en	usa,fbi,wanted,watchlist	21600	Structured FBI wanted and seeking-information records with aliases, images and field office.
gov-ice-news	https://www.ice.gov/rss.xml	rss	10	ICE — Newsroom	米国ICE 報道発表	government	regulator	en	usa,ice,immigration,enforcement	3600	US Immigration and Customs Enforcement news releases and operational announcements.
gov-dod-news	https://www.defense.gov/DesktopModules/ArticleCS/RSS.ashx?ContentType=1&Site=945&max=20	rss	20	US Department of Defense — Releases	米国国防総省 発表	government	regulator	en	usa,dod,defense,military	3600	Official US Department of Defense press releases and contract announcements.
gov-dol-releases	https://www.dol.gov/rss/releases.xml	rss	10	US Department of Labor — News Releases	米国労働省 報道発表	government	regulator	en	usa,dol,labor,enforcement	3600	US Department of Labor news, including wage-and-hour and safety enforcement actions.
gov-osha-news	https://www.osha.gov/news/newsreleases.xml	rss	5	OSHA — News Releases	米国OSHA 報道発表	government	regulator	en	usa,osha,workplace,safety	3600	Occupational Safety and Health Administration citations, penalties and safety announcements.
gov-cbo-pubs	https://www.cbo.gov/publications/all/rss.xml	rss	30	Congressional Budget Office — Publications	米国議会予算局 刊行物	government	transparency	en	usa,cbo,fiscal,analysis	86400	Cost estimates, budget outlooks and analytic reports from the US Congressional Budget Office.
gov-bea-news	https://apps.bea.gov/rss/rss.xml	rss	47	Bureau of Economic Analysis — Releases	米国経済分析局 統計発表	government	statistics	en	usa,bea,gdp,statistics	86400	GDP, personal income and trade statistics releases from the US Bureau of Economic Analysis.
gov-fda-press	https://www.fda.gov/about-fda/contact-fda/stay-informed/rss-feeds/press-releases/rss.xml	rss	20	FDA — Press Announcements	米国FDA 報道発表	government	regulator	en	usa,fda,medicines,regulator	3600	US Food and Drug Administration press announcements including approvals and enforcement.
gov-openfda-drug-enforcement	https://api.fda.gov/drug/enforcement.json?limit=50	json:results	50	openFDA — Drug Recall Enforcement	openFDA 医薬品回収	government	regulator	en	usa,fda,recalls,drugs	21600	Structured US drug recall enforcement reports with firm, reason, classification and distribution.
gov-openfda-food-enforcement	https://api.fda.gov/food/enforcement.json?limit=50	json:results	50	openFDA — Food Recall Enforcement	openFDA 食品回収	government	regulator	en	usa,fda,recalls,food	21600	Structured US food recall enforcement reports including contamination reason and recall depth.
gov-openfda-device-enforcement	https://api.fda.gov/device/enforcement.json?limit=50	json:results	50	openFDA — Device Recall Enforcement	openFDA 医療機器回収	government	regulator	en	usa,fda,recalls,devices	21600	Structured US medical device recall enforcement reports.
gov-openfda-device-recall	https://api.fda.gov/device/recall.json?limit=50	json:results	50	openFDA — Device Recall Records	openFDA 医療機器回収記録	government	regulator	en	usa,fda,devices,recalls	21600	Device recall records including product codes, root cause and firm action.
gov-openfda-device-event	https://api.fda.gov/device/event.json?limit=50	json:results	50	openFDA — Device Adverse Events	openFDA 医療機器有害事象	government	regulator	en	usa,fda,devices,adverse-events	21600	MAUDE adverse-event reports for medical devices, with device, manufacturer and event narrative.
gov-openfda-drug-label	https://api.fda.gov/drug/label.json?limit=50	json:results	50	openFDA — Structured Drug Labels	openFDA 医薬品添付文書	government	regulator	en	usa,fda,drugs,labels	86400	Structured Product Labeling records for US-marketed drugs, including warnings and ingredients.
gov-cpsc-recalls	https://www.saferproducts.gov/RestWebServices/Recall?format=json&RecallDateStart=2026-01-01	json-array	373	CPSC — Consumer Product Recalls	米国CPSC 製品リコール	government	regulator	en	usa,cpsc,recalls,consumer	21600	US Consumer Product Safety Commission recall records with hazard, remedy, importer and units.
gov-nhtsa-recall-makes	https://api.nhtsa.gov/products/vehicle/makes?issueType=r&modelYear=2025	json:results	196	NHTSA — Vehicle Makes with Open Recalls	NHTSA リコール対象自動車メーカー	government	regulator	en	usa,nhtsa,recalls,vehicles	86400	Vehicle makes with active US safety recalls for a given model year — entry point to NHTSA recall detail.
gov-ofac-cons-csv	https://sanctionslistservice.ofac.treas.gov/api/PublicationPreview/exports/CONS_PRIM.CSV	csv	366	OFAC — Consolidated Non-SDN List	OFAC 非SDN統合リスト	government	sanctions	en	usa,ofac,sanctions,consolidated	86400	US Treasury OFAC consolidated non-SDN sanctions list (SSI, FSE, NS-MBS and related programmes).
gov-ofac-alt-csv	https://sanctionslistservice.ofac.treas.gov/api/PublicationPreview/exports/ALT.CSV	csv	4061	OFAC — SDN Alternate Names	OFAC SDN別名リスト	government	sanctions	en	usa,ofac,sanctions,aliases	86400	Alternate spellings, a.k.a.s and formerly-known-as names for OFAC SDN entries — essential for name matching.
gov-opensanctions-index	https://data.opensanctions.org/datasets/latest/index.json	json:datasets	462	OpenSanctions — Dataset Catalogue	OpenSanctions データセット目録	government	sanctions	en	sanctions,catalogue,global	86400	Master index of all 460+ OpenSanctions source datasets with coverage, entity counts and refresh times.
gov-opensanctions-sanctions	https://data.opensanctions.org/datasets/latest/sanctions/index.json	json:children	93	OpenSanctions — Sanctions Collection	OpenSanctions 制裁コレクション	government	sanctions	en	sanctions,global,watchlist	86400	Index of every sanctions regime OpenSanctions aggregates, across 93 national and supranational lists.
gov-opensanctions-peps	https://data.opensanctions.org/datasets/latest/peps/index.json	json:children	190	OpenSanctions — PEP Collection	OpenSanctions 重要公人コレクション	government	transparency	en	pep,politicians,global	86400	Index of politically exposed person datasets covering 190 national sources.
gov-opensanctions-crime	https://data.opensanctions.org/datasets/latest/crime/index.json	json:children	62	OpenSanctions — Crime and Wanted Lists	OpenSanctions 犯罪・手配リスト	legal	watchlist	en	crime,wanted,global	86400	Index of law-enforcement wanted, fugitive and criminal-designation datasets.
gov-opensanctions-debarment	https://data.opensanctions.org/datasets/latest/debarment/index.json	json:children	61	OpenSanctions — Debarment Collection	OpenSanctions 入札排除コレクション	government	procurement	en	debarment,procurement,global	86400	Index of procurement debarment and exclusion lists from development banks and national authorities.
gov-opensanctions-securities	https://data.opensanctions.org/datasets/latest/securities/index.json	json:children	26	OpenSanctions — Securities Datasets	OpenSanctions 証券データセット	finance	registry	en	securities,isin,global	86400	Index of securities and instrument identifier datasets used for sanctions ownership tracing.
gov-opensanctions-default	https://data.opensanctions.org/datasets/latest/default/index.json	json:children	461	OpenSanctions — Default Collection	OpenSanctions 既定コレクション	government	sanctions	en	sanctions,pep,global	86400	The default OpenSanctions collection index — combined sanctions, PEP and criminal-watchlist sources.
gov-opensanctions-us-ofac	https://data.opensanctions.org/datasets/latest/us_ofac_sdn/index.json	json:resources	6	OpenSanctions — OFAC SDN Mirror	OpenSanctions OFAC SDN 版	government	sanctions	en	sanctions,ofac,usa	86400	OpenSanctions build of the US OFAC SDN list, with normalised entities and download resources.
gov-opensanctions-eu-fsf	https://data.opensanctions.org/datasets/latest/eu_fsf/index.json	json:resources	6	OpenSanctions — EU Consolidated Sanctions	OpenSanctions EU統合制裁リスト	government	sanctions	en	sanctions,eu	86400	OpenSanctions build of the EU Financial Sanctions Files consolidated list.
gov-opensanctions-gb-hmt	https://data.opensanctions.org/datasets/latest/gb_hmt_sanctions/index.json	json:resources	6	OpenSanctions — UK HMT Sanctions	OpenSanctions 英国財務省制裁リスト	government	sanctions	en	sanctions,uk,ofsi	86400	OpenSanctions build of the UK HM Treasury / OFSI consolidated sanctions list.
gov-opensanctions-un-sc	https://data.opensanctions.org/datasets/latest/un_sc_sanctions/index.json	json:resources	6	OpenSanctions — UN Security Council List	OpenSanctions 国連安保理制裁リスト	government	sanctions	en	sanctions,un,securitycouncil	86400	OpenSanctions build of the UN Security Council consolidated sanctions list.
gov-opensanctions-ch-seco	https://data.opensanctions.org/datasets/latest/ch_seco_sanctions/index.json	json:resources	6	OpenSanctions — Swiss SECO Sanctions	OpenSanctions スイスSECO制裁リスト	government	sanctions	en	sanctions,switzerland,seco	86400	OpenSanctions build of the Swiss State Secretariat for Economic Affairs sanctions list.
gov-opensanctions-wd-peps	https://data.opensanctions.org/datasets/latest/wd_peps/index.json	json:resources	1	OpenSanctions — Wikidata PEPs	OpenSanctions Wikidata由来PEP	government	transparency	en	pep,wikidata,global	86400	Politically exposed persons derived from Wikidata office-holder statements worldwide.
gov-opensanctions-wb-debarred	https://data.opensanctions.org/datasets/latest/worldbank_debarred/index.json	json:resources	5	OpenSanctions — World Bank Debarred Firms	OpenSanctions 世銀入札排除企業	government	procurement	en	debarment,worldbank,procurement	86400	World Bank debarred and cross-debarred firms and individuals, normalised by OpenSanctions.
gov-sanctionsmap-eu	https://www.sanctionsmap.eu/api/v1/data	json:data.searchTypes	2	EU Sanctions Map — Regime Data	EU制裁マップ データ	government	sanctions	en	sanctions,eu,regimes	86400	Machine-readable EU Sanctions Map: every EU restrictive-measure regime, legal act and target country.
gov-ecb-pub	https://www.ecb.europa.eu/rss/pub.html	rss	15	ECB — Publications	欧州中央銀行 刊行物	finance	statistics	en	eu,ecb,centralbank,research	86400	European Central Bank working papers, occasional papers and statistical publications.
gov-ecb-fxref-usd	https://www.ecb.europa.eu/rss/fxref-usd.html	rss	5	ECB Reference Rate — USD	ECB 参照レート 米ドル	finance	statistics	en	eu,ecb,fx,timeseries	86400	Daily ECB euro foreign exchange reference rate against the US dollar.
gov-ecb-fxref-jpy	https://www.ecb.europa.eu/rss/fxref-jpy.html	rss	5	ECB Reference Rate — JPY	ECB 参照レート 日本円	finance	statistics	ja	eu,ecb,fx,japan,timeseries	86400	Daily ECB euro foreign exchange reference rate against the Japanese yen.
gov-ecb-fxref-gbp	https://www.ecb.europa.eu/rss/fxref-gbp.html	rss	5	ECB Reference Rate — GBP	ECB 参照レート 英ポンド	finance	statistics	en	eu,ecb,fx,timeseries	86400	Daily ECB euro foreign exchange reference rate against sterling.
gov-ecb-fxref-chf	https://www.ecb.europa.eu/rss/fxref-chf.html	rss	5	ECB Reference Rate — CHF	ECB 参照レート スイスフラン	finance	statistics	en	eu,ecb,fx,timeseries	86400	Daily ECB euro foreign exchange reference rate against the Swiss franc.
gov-ecb-fxref-cny	https://www.ecb.europa.eu/rss/fxref-cny.html	rss	5	ECB Reference Rate — CNY	ECB 参照レート 人民元	finance	statistics	en	eu,ecb,fx,china,timeseries	86400	Daily ECB euro foreign exchange reference rate against the Chinese yuan.
gov-europarl-press-en	https://www.europarl.europa.eu/rss/doc/press-releases/en.xml	rss	20	European Parliament — Press Releases (EN)	欧州議会 報道発表（英語）	government	parliament	en	eu,parliament,press	3600	Official European Parliament press releases in English.
gov-europarl-press-fr	https://www.europarl.europa.eu/rss/doc/press-releases/fr.xml	rss	20	European Parliament — Press Releases (FR)	欧州議会 報道発表（仏語）	government	parliament	fr	eu,parliament,press	3600	Official European Parliament press releases in French.
gov-europarl-press-de	https://www.europarl.europa.eu/rss/doc/press-releases/de.xml	rss	20	European Parliament — Press Releases (DE)	欧州議会 報道発表（独語）	government	parliament	de	eu,parliament,press	3600	Official European Parliament press releases in German.
gov-europarl-press-es	https://www.europarl.europa.eu/rss/doc/press-releases/es.xml	rss	20	European Parliament — Press Releases (ES)	欧州議会 報道発表（西語）	government	parliament	es	eu,parliament,press	3600	Official European Parliament press releases in Spanish.
gov-europarl-opendata-docs	https://data.europarl.europa.eu/api/v2/documents?format=application%2Fld%2Bjson&limit=50	json:data	50	European Parliament — Open Data Documents	欧州議会 オープンデータ文書	government	parliament	en	eu,parliament,documents,linkeddata	3600	Linked-data records for European Parliament tabled documents, reports and resolutions.
gov-europarl-opendata-meps	https://data.europarl.europa.eu/api/v2/meps?format=application%2Fld%2Bjson&limit=50	json:data	50	European Parliament — MEP Registry	欧州議会 議員登録データ	government	parliament	en	eu,parliament,members,pep	86400	Structured registry of Members of the European Parliament with country and political group.
gov-eucommission-press-fr	https://ec.europa.eu/commission/presscorner/api/rss?language=fr	rss	10	European Commission — Press Corner (FR)	欧州委員会 報道発表（仏語）	government	regulator	fr	eu,commission,press	3600	European Commission press releases, statements and speeches in French.
gov-eucommission-press-de	https://ec.europa.eu/commission/presscorner/api/rss?language=de	rss	10	European Commission — Press Corner (DE)	欧州委員会 報道発表（独語）	government	regulator	de	eu,commission,press	3600	European Commission press releases, statements and speeches in German.
gov-eucommission-press-es	https://ec.europa.eu/commission/presscorner/api/rss?language=es	rss	10	European Commission — Press Corner (ES)	欧州委員会 報道発表（西語）	government	regulator	es	eu,commission,press	3600	European Commission press releases, statements and speeches in Spanish.
gov-eucommission-press-it	https://ec.europa.eu/commission/presscorner/api/rss?language=it	rss	10	European Commission — Press Corner (IT)	欧州委員会 報道発表（伊語）	government	regulator	it	eu,commission,press	3600	European Commission press releases, statements and speeches in Italian.
gov-eucommission-press-pl	https://ec.europa.eu/commission/presscorner/api/rss?language=pl	rss	10	European Commission — Press Corner (PL)	欧州委員会 報道発表（波語）	government	regulator	pl	eu,commission,press	3600	European Commission press releases, statements and speeches in Polish.
gov-eucommission-press-nl	https://ec.europa.eu/commission/presscorner/api/rss?language=nl	rss	10	European Commission — Press Corner (NL)	欧州委員会 報道発表（蘭語）	government	regulator	nl	eu,commission,press	3600	European Commission press releases, statements and speeches in Dutch.
gov-eucommission-press-pt	https://ec.europa.eu/commission/presscorner/api/rss?language=pt	rss	10	European Commission — Press Corner (PT)	欧州委員会 報道発表（葡語）	government	regulator	pt	eu,commission,press	3600	European Commission press releases, statements and speeches in Portuguese.
gov-esma-news	https://www.esma.europa.eu/rss.xml	rss	10	ESMA — News and Decisions	欧州証券市場監督機構 ニュース	finance	regulator	en	eu,esma,securities,regulator	3600	European Securities and Markets Authority news, guidelines and supervisory decisions.
gov-efsa-news	https://www.efsa.europa.eu/en/all/rss	rss	30	EFSA — Food Safety Outputs	欧州食品安全機関 発表	government	regulator	en	eu,efsa,foodsafety,regulator	3600	European Food Safety Authority scientific opinions, alerts and news.
gov-edpb-news	https://www.edpb.europa.eu/rss.xml	rss	10	European Data Protection Board — News	欧州データ保護会議 ニュース	legal	regulator	en	eu,gdpr,dataprotection,privacy	3600	EDPB guidelines, binding decisions and statements on EU data protection enforcement.
gov-fra-news	https://fra.europa.eu/en/rss.xml	rss	10	EU Fundamental Rights Agency — News	EU基本権機関 ニュース	government	transparency	en	eu,humanrights,fra	3600	Reports and news from the EU Agency for Fundamental Rights.
gov-eige-news	https://eige.europa.eu/rss.xml	rss	12	European Institute for Gender Equality — News	欧州ジェンダー平等研究所 ニュース	government	statistics	en	eu,gender,eige	86400	EIGE research, indices and policy news on gender equality across the EU.
gov-era-news	https://www.era.europa.eu/rss.xml	rss	10	EU Agency for Railways — News	欧州鉄道機関 ニュース	government	regulator	en	eu,rail,safety,regulator	86400	European Union Agency for Railways safety certifications, standards and announcements.
gov-cedefop-news	https://www.cedefop.europa.eu/en/rss.xml	rss	10	Cedefop — Vocational Training News	欧州職業訓練開発センター ニュース	government	statistics	en	eu,cedefop,skills,labour	86400	Cedefop analyses of EU vocational education, skills forecasts and labour market data.
gov-eu-vies-status	https://ec.europa.eu/taxation_customs/vies/rest-api/check-status	json:countries	28	EU VIES — VAT Service Availability	EU VIES 付加価値税照会稼働状況	finance	registry	en	eu,vat,tax,registry	3600	Live availability of each member state's VAT number validation service in the EU VIES system.
gov-eurostat-gdp	https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?format=JSON&lang=en&lastTimePeriod=1	json:extension.annotation	16	Eurostat — GDP and Main Aggregates	ユーロスタット GDP主要集計	government	statistics	en	eu,eurostat,gdp,timeseries	86400	JSON-stat cube of annual GDP and main national accounts aggregates for all EU and EFTA countries.
