id_or_url	stage	reason	detail
https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/menu.htm	pre-screen	NO_TITLE_IN_ANCHOR	bill list of the 221st Diet: the bill title is table text, the anchors read 本文 / 経過; HTML mode titles a record by its anchor text, so every record would be titled 本文
https://www.shugiin.go.jp/internet/itdb_shitsumon.nsf/html/shitsumon/menu_m.htm	pre-screen	NO_TITLE_IN_ANCHOR	written-question list: anchors read 質問(HTML) / 答弁(HTML)
https://www.sangiin.go.jp/japanese/joho1/kousei/gian/222/gian.htm	pre-screen	HTTP_404	session 222 pages do not exist yet; session 221 pages on this host are registered
https://www.mod.go.jp/js/press/index.html	pre-screen	HTTP_403	Joint Staff press index 403 (also /atla/rss/news.xml 403 and the site root 403 to urllib); /j/press/news/index.html answers 200 and was shipped
https://www.recall.caa.go.jp/rss/recall_rss.xml	pre-screen	HTTP_404	no RSS on the recall site (rss/ 404); the three result listings were shipped as HTML rows
https://www.kokusen.go.jp/rss/news.xml	pre-screen	HTTP_404	guess; ncac_index.rss 404; the news index page was shipped as an HTML row
https://www.gsi.go.jp/	pre-screen	TLS	GSI's server requires legacy TLS renegotiation; urllib fails with UNSAFE_LEGACY_RENEGOTIATION_DISABLED and curl exits 000 from the WSL host, so nothing on www.gsi.go.jp could be proved
https://www.mofa.go.jp/mofaj/	pre-screen	HTTP_403	MOFA blocks the pre-screen client; no feed could be discovered
https://www.env.go.jp/press/press.rss	pre-screen	HTTP_404	guess; /press/rss.xml, /rss/press.rdf, /press/index.rss 404; the ministry homepage advertises no feed; press/index.html on this host is registered
https://www.mof.go.jp/rss/press.xml	pre-screen	HTTP_404	guess; /public_relations/rss/index.xml 404; press_release/index.html 404
https://www.nra.go.jp/news_only/rss.xml	pre-screen	HTTP_404	guess; /rss/news.xml 404; news_only/index.html 404
https://www.jetro.go.jp/rss/	pre-screen	HTTP_404	feed directory guesses on jetro, customs, jica and mext all 404; the feeds that exist were taken from page autodiscovery instead
https://wwwtb.mlit.go.jp/tohoku/press/	pre-screen	HTTP_404	regional transport bureau press pages: tohoku, hokushin, chugoku, shikoku, kyushu 404; chubu answers 200 but its anchors are month-index links, not releases
https://www.maff.go.jp/tohoku/	pre-screen	NO_FEED	regional agricultural administration offices (8 hosts/paths) advertise no feed; likewise the seven regional environment offices, the five regional METI bureaus without a registered feed, and the five regional MLIT development bureaus (thr, hrr, cbr, kkr, skr)
https://www.chubu.meti.go.jp/rss/news-list-all.html	pre-screen	NOT_A_FEED	HTML pages titled as RSS lists; no XML link on them
https://www.mhlw.go.jp/rss/index.html	pre-screen	NOT_A_FEED	RSS index page; the four MHLW feeds it lists that are not in the tree were shipped, news.rdf is registered
https://www.jpx.co.jp/rss/alerts.xml	pre-screen	EMPTY_RESULTSET	0 items at authoring time; derivatives-suspended.xml likewise 0
https://www.nasva.go.jp/rss/topics.xml	pre-screen	ALREADY_REGISTERED	registered in the tree (fence)
https://www.nict.go.jp/rss/press.rdf	pre-screen	ALREADY_REGISTERED	registered; latestnews.rdf and topics.rdf were shipped
https://speechpanel.readspeaker.com/	pre-screen	JUNK_AUTODISCOVERY	ReadSpeaker / feedback-form links picked up by feed autodiscovery on shugiin.go.jp and digital.go.jp; not sources
