# Batch 29 (agent B) — deepweb: public, unauthenticated searchable databases behind query forms and APIs
# (licence registers, court and tribunal records, procurement ledgers, debarment/sanctions lists, charity officers,
# adviser/broker registers, network registries, archive catalogues). Every row was fetched live while authoring;
# record counts quoted below are what the upstream reported at that time (Socrata count(*) or the API's own total).
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO29B_NY_SLA_PENDING_LICENSES|json|any|licensing|business-licence|us,newyork,liquor,sla,application,socrata|https://data.ny.gov|New York State Liquor Authority — pending licence applications|ニューヨーク州 酒類免許 審査中申請|https://data.ny.gov/resource/f8i8-k2gm.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/f8i8-k2gm.json?$select=:*,*&$order=:id&$limit=5000|2,922 pending SLA applications naming the applicant legal entity, DBA, premises address, county, licence type and class and the date received.|title_keys=legalname;id_keys=:id;date_keys=received_date;page_param=$offset;page_size=5000;page_max=3;interval=86400
JO29B_FULTON_SUPERIOR_PENDING_CASES|json|any|legal|court-case|us,georgia,fulton,superior-court,docket,socrata|https://sharefulton.fultoncountyga.gov|Fulton County (GA) Superior Court — current pending cases|フルトン郡上位裁判所 係属中事件|https://sharefulton.fultoncountyga.gov/resource/u8gi-zru8.json?$select=:*,*&$order=:id&$limit=5000|https://sharefulton.fultoncountyga.gov/resource/u8gi-zru8.json?$select=:*,*&$order=:id&$limit=5000|12,956 pending Superior Court cases with case number, style (party caption), case category and type, assigned judge, charge offence description, filing and assignment dates and days pending.|title_keys=style;id_keys=:id;date_keys=datefiled;page_param=$offset;page_size=5000;page_max=5;interval=86400
JO29B_SCC_PROBATE_CASES|json|any|archive|court-case|us,california,santaclara,probate,archive,socrata|https://data.sccgov.org|Santa Clara County archives — county probate cases index|サンタクララ郡 遺言検認事件索引|https://data.sccgov.org/resource/rh64-rgza.json?$select=:*,*&$order=:id&$limit=5000|https://data.sccgov.org/resource/rh64-rgza.json?$select=:*,*&$order=:id&$limit=5000|7,536 historical probate case files held by the Santa Clara County archives: decedent last and first name, folder and box location, probate date, comments, accession and collection name.|title_keys=last;id_keys=:id;date_keys=probate_date;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_NYC_OATH_TRIALS_CASES|json|any|legal|court-case|us,newyorkcity,oath,tribunal,trials,socrata|https://data.cityofnewyork.us|NYC OATH Trials Division case status|ニューヨーク市 行政審判所 事件状況|https://data.cityofnewyork.us/resource/y3hw-z6bm.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofnewyork.us/resource/y3hw-z6bm.json?$select=:*,*&$order=:id&$limit=5000|3,289 cases before the Office of Administrative Trials and Hearings Trials Division (employee discipline, licence, loft and other agency prosecutions) with respondent name, filing agency case id, category, premises, dates, disposition and agency head decision.|title_keys=name;id_keys=:id;date_keys=opened;page_param=$offset;page_size=5000;page_max=3;interval=86400
JO29B_NYC_HOUSING_LITIGATIONS|json|any|legal|court-case|us,newyorkcity,hpd,housing-court,landlord,socrata|https://data.cityofnewyork.us|NYC HPD Housing Court litigations — respondent/address search|ニューヨーク市 住宅裁判所訴訟 検索|https://data.cityofnewyork.us/resource/59kj-x8nc.json?$q={q}&$select=:*,*&$order=:id&$limit=1000|https://data.cityofnewyork.us/resource/59kj-x8nc.json?$q=realty&$select=:*,*&$order=:id&$limit=1000|240,894 cases brought by HPD in NYC Housing Court: building address and BBL, case type (heat and hot water, comprehensive, harassment, tenant action), open date, status, judgement and the named respondent landlord.|title_keys=respondent;id_keys=:id;date_keys=caseopendate;page_param=$offset;page_size=1000
JO29B_NY_JUDICIAL_CONDUCT_DETERMINATIONS|json|any|legal|disciplinary-action|us,newyork,judges,judicial-conduct,discipline,socrata|https://data.ny.gov|NYS Commission on Judicial Conduct — public determinations|ニューヨーク州 司法行為委員会 決定|https://data.ny.gov/resource/gnpf-e4p2.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/gnpf-e4p2.json?$select=:*,*&$order=:id&$limit=5000|975 public determinations against New York judges since the Commission began: judge name, judicial title, court, county, determination (admonition, censure, removal) and year, with the link to the determination document.|title_keys=name_last_first;id_keys=:id;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_NY_MEDICAL_CONDUCT_ACTIONS|json|any|legal|disciplinary-action|us,newyork,physician,medical-conduct,discipline,socrata|https://health.data.ny.gov|NYS Board for Professional Medical Conduct — actions since 1990|ニューヨーク州 医師懲戒処分|https://health.data.ny.gov/resource/ebmi-8ctw.json?$select=:*,*&$order=:id&$limit=5000|https://health.data.ny.gov/resource/ebmi-8ctw.json?$select=:*,*&$order=:id&$limit=5000|9,286 disciplinary actions against physicians, physician assistants and specialist assistants: name, address, licence number and type, year of birth, effective date, the action taken and the misconduct notes.|title_keys=last_name;id_keys=:id;date_keys=effectivedate;page_param=$offset;page_size=5000;page_max=4;interval=604800
JO29B_TX_TCEQ_CIVIL_JUDGMENTS|json|any|legal|court-judgment|us,texas,tceq,environment,judgment,socrata|https://data.texas.gov|Texas Commission on Environmental Quality — civil judgments issued|テキサス州環境品質委員会 民事判決|https://data.texas.gov/resource/7ift-kbgd.json?$select=:*,*&$order=:id&$limit=5000|https://data.texas.gov/resource/7ift-kbgd.json?$select=:*,*&$order=:id&$limit=5000|239 environmental civil judgments: programme, TCEQ case number, district court docket number, respondent name, county, order date, penalty assessed and deferred, attorney fees and court costs.|title_keys=respondent_name;id_keys=:id;date_keys=order_date;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_TX_LOTTERY_CONTESTED_ORDERS|json|any|legal|administrative-order|us,texas,lottery,bingo,contested-case,socrata|https://data.texas.gov|Texas Lottery Commission — lottery and charitable bingo contested case orders|テキサス州宝くじ委員会 争訟事件命令|https://data.texas.gov/resource/inib-aewu.json?$select=:*,*&$order=:id&$limit=5000|https://data.texas.gov/resource/inib-aewu.json?$select=:*,*&$order=:id&$limit=5000|1,586 signed orders in contested licence cases (retailer and bingo licence revocations, denials, penalties) with order number, type and sub-type, signed date, order name, SOAH docket number, statute and the order file URL.|title_keys=order_name;id_keys=:id;date_keys=signed_date;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_NYC_DOB_DISCIPLINARY_ACTIONS|json|any|legal|disciplinary-action|us,newyorkcity,dob,licence,discipline,socrata|https://data.cityofnewyork.us|NYC Department of Buildings — disciplinary actions against licensees|ニューヨーク市建築局 免許者懲戒処分|https://data.cityofnewyork.us/resource/ndq3-kuef.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofnewyork.us/resource/ndq3-kuef.json?$select=:*,*&$order=:id&$limit=5000|2,794 disciplinary dispositions against DOB licensees (master plumbers, riggers, site safety managers, filing representatives) with year, licence type and number, name, company and disposition.|title_keys=name;id_keys=:id;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_CHICAGO_BUILDING_SCOFFLAWS|json|any|legal|court-case|us,chicago,building-code,scofflaw,circuit-court,socrata|https://data.cityofchicago.org|Chicago Building Code Scofflaw List|シカゴ市 建築基準違反常習者リスト|https://data.cityofchicago.org/resource/crg5-4zyp.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/crg5-4zyp.json?$select=:*,*&$order=:id&$limit=5000|701 property owners placed on the city scofflaw list for unresolved building-code cases, each naming the defendant owner, address, the Cook County Circuit Court case number and the dates the building and owner were listed.|title_keys=defendant_owner;id_keys=:id;date_keys=building_list_date;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_CHICAGO_DEBARRED_FIRMS|json|any|sanctions|debarment|us,chicago,debarment,procurement,socrata|https://data.cityofchicago.org|Chicago debarred firms and individuals|シカゴ市 入札参加資格停止業者|https://data.cityofchicago.org/resource/y93d-d9e3.json?$select=:*,*&$order=:id&$limit=5000|https://data.cityofchicago.org/resource/y93d-d9e3.json?$select=:*,*&$order=:id&$limit=5000|163 firms and individuals debarred from City of Chicago contracts with address, debarment date, length, reason and type.|title_keys=entity_individual;id_keys=:id;date_keys=debarment_date;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_NY_NONRESPONSIBLE_ENTITIES|json|any|sanctions|debarment|us,newyork,procurement,non-responsible,socrata|https://data.ny.gov|New York State non-responsible entities (procurement)|ニューヨーク州 不適格契約者|https://data.ny.gov/resource/jhxt-dfv6.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/jhxt-dfv6.json?$select=:*,*&$order=:id&$limit=5000|Contractors that NYS agencies and authorities have formally determined non-responsible since 2019 (18 at authoring time), with contractor name, FEIN, determining agency, agency contact and determination date.|title_keys=nonresponsiblecontractor;id_keys=:id;date_keys=datenonresponsibilitydetermination;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_USDOT_AUTHORITY_REVOCATIONS|json|any|sanctions|licence-revocation|us,fmcsa,dot,carrier,revocation,socrata|https://datahub.transportation.gov|FMCSA operating-authority revocations — docket number lookup|米連邦自動車運送安全局 事業許可取消 事業者番号検索|https://datahub.transportation.gov/resource/sa6p-acbp.json?docket_number={qU}&$select=:*,*&$order=:id&$limit=1000|https://datahub.transportation.gov/resource/sa6p-acbp.json?docket_number=MC1809530&$select=:*,*&$order=:id&$limit=1000|1,529,083 FMCSA revocation records with history: docket number (MC/MX/FF), USDOT number, licence type, first order serve date, revocation order type (voluntary or involuntary) and effective date. Queried by exact docket number, because Socrata full-text $q does not index the docket tokens (a $q for a real docket returned nothing); an impossible docket returns an empty array.|title_keys=docket_number;id_keys=:id;date_keys=order1_serve_date;page_param=$offset;page_size=1000
JO29B_COOK_AWARDED_CONTRACTS|json|any|procurement|contract-award|us,cookcounty,illinois,procurement,contract,socrata|https://datacatalog.cookcountyil.gov|Cook County procurement — awarded contracts and amendments|クック郡 契約締結・変更|https://datacatalog.cookcountyil.gov/resource/qh8j-6k63.json?$select=:*,*&$order=:id&$limit=5000|https://datacatalog.cookcountyil.gov/resource/qh8j-6k63.json?$select=:*,*&$order=:id&$limit=5000|8,290 contracts and amendments awarded by Cook County with contract number, vendor number and name, amount, description, lead department, start/end dates, category and board approval.|title_keys=vendor_name;id_keys=:id;date_keys=start_date;page_param=$offset;page_size=5000;page_max=4;interval=604800
JO29B_COOK_INTENT_TO_AWARD|json|any|procurement|contract-award|us,cookcounty,illinois,procurement,intent-to-award,socrata|https://datacatalog.cookcountyil.gov|Cook County procurement — intent to award notices|クック郡 落札予定通知|https://datacatalog.cookcountyil.gov/resource/bgq7-v7ms.json?$select=:*,*&$order=:id&$limit=5000|https://datacatalog.cookcountyil.gov/resource/bgq7-v7ms.json?$select=:*,*&$order=:id&$limit=5000|2,046 intent-to-award postings: posting date, contract number, description, department, recommended action and vendor, contract amount, number of bids received and CCA concurrence.|title_keys=recommended_vendor;id_keys=:id;date_keys=posting_date;page_param=$offset;page_size=5000;page_max=3;interval=86400
JO29B_NY_LDC_PROCUREMENTS|json|any|procurement|contract-award|us,newyork,abo,procurement,local-development-corporation,socrata|https://data.ny.gov|NY Authorities Budget Office — procurement report, local development corporations|ニューヨーク州 地域開発公社 調達報告|https://data.ny.gov/resource/d84c-dk28.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/d84c-dk28.json?$select=:*,*&$order=:id&$limit=5000|24,331 procurement contracts reported by local development corporations: authority, fiscal year, vendor name and address, description, procurement type, award process, award date, contract amount and amount expended.|title_keys=vendor_name;id_keys=:id;date_keys=award_date;page_param=$offset;page_size=5000;page_max=7;interval=604800
JO29B_NY_IDA_PROCUREMENTS|json|any|procurement|contract-award|us,newyork,abo,procurement,industrial-development-agency,socrata|https://data.ny.gov|NY Authorities Budget Office — procurement report, industrial development agencies|ニューヨーク州 産業開発機関 調達報告|https://data.ny.gov/resource/p3p6-xqr5.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/p3p6-xqr5.json?$select=:*,*&$order=:id&$limit=5000|6,448 procurement contracts reported by industrial development agencies with vendor, description, award process, award and end dates, contract amount, fair market value and amount expended.|title_keys=vendor_name;id_keys=:id;date_keys=award_date;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_NY_LOCAL_AUTHORITY_PROCUREMENTS|json|any|procurement|contract-award|us,newyork,abo,procurement,local-authority,socrata|https://data.ny.gov|NY Authorities Budget Office — procurement report, local authorities|ニューヨーク州 地方公社 調達報告|https://data.ny.gov/resource/8w5p-k45m.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/8w5p-k45m.json?$select=:*,*&$order=:id&$limit=5000|65,467 procurement contracts reported by NY local public authorities with vendor, description, procurement type, award process, dates, contract amount and amount expended.|title_keys=vendor_name;id_keys=:id;date_keys=award_date;page_param=$offset;page_size=5000;page_max=15;interval=604800
JO29B_NY_MTA_PROCUREMENTS|json|any|procurement|contract-award|us,newyork,mta,procurement,transit,socrata|https://data.ny.gov|MTA procurements since 2018|ニューヨーク都市交通公社 調達|https://data.ny.gov/resource/twsw-2mqa.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/twsw-2mqa.json?$select=:*,*&$order=:id&$limit=5000|107,503 Metropolitan Transportation Authority procurement records: vendor, transaction number, description, status, procurement type, award process, award/begin/end dates, contract amount, amount expended to date and outstanding balance.|title_keys=vendor_name;id_keys=:id;date_keys=award_date;page_param=$offset;page_size=5000;page_max=24;interval=604800
JO29B_NS_AWARDED_TENDERS|json|any|procurement|contract-award|canada,novascotia,tender,procurement,socrata|https://data.novascotia.ca|Nova Scotia awarded public tenders|ノバスコシア州 落札済み公共入札|https://data.novascotia.ca/resource/m6ps-8j6u.json?$select=:*,*&$order=:id&$limit=5000|https://data.novascotia.ca/resource/m6ps-8j6u.json?$select=:*,*&$order=:id&$limit=5000|33,290 awarded public-sector tenders in Nova Scotia with tender id, procuring entity, goods/service/construction flags, open and close dates, description, award date, awarded amount and vendor.|title_keys=vendor;id_keys=:id;date_keys=awarded_date;page_param=$offset;page_size=5000;page_max=9;interval=604800
JO29B_DE_CONTRACT_LINE_ITEM_SPEND|json|any|procurement|contract-spend|us,delaware,contract,spend,procurement,socrata|https://data.delaware.gov|Delaware central contract line-item spend — vendor/item search|デラウェア州 契約明細支出 検索|https://data.delaware.gov/resource/75y3-eci7.json?$q={q}&$select=:*,*&$order=:id&$limit=1000|https://data.delaware.gov/resource/75y3-eci7.json?$q=dell&$select=:*,*&$order=:id&$limit=1000|3,043,782 line items bought on Delaware central contracts: fiscal year, agency, contract number and description, vendor, customer department, item description, quantity, unit rate and total spend.|title_keys=vendor_name;id_keys=:id;date_keys=report_end_date;page_param=$offset;page_size=1000
JO29B_CO_PAID_SOLICITOR_NOTICES|json|any|charity|solicitation-filing|us,colorado,charity,solicitor,fundraising,socrata|https://data.colorado.gov|Colorado Secretary of State — paid solicitor solicitation notices|コロラド州 有償募金代行業者 届出|https://data.colorado.gov/resource/ew9y-6tv9.json?$select=:*,*&$order=:id&$limit=5000|https://data.colorado.gov/resource/ew9y-6tv9.json?$select=:*,*&$order=:id&$limit=5000|8,696 solicitation campaign notices filed by paid solicitors for charities: charity name and entity id, solicitor name, filing type, approval and campaign start/end dates, the signing charity officer and custody of contributions.|title_keys=charityname;id_keys=:id;date_keys=solicitationapproveddate;page_param=$offset;page_size=5000;page_max=4;interval=604800
JO29B_NYC_CITY_RECORD_SEARCH|json|any|gazette|official-notice-entry|us,newyorkcity,city-record,gazette,procurement,socrata|https://data.cityofnewyork.us|The City Record Online (NYC official journal) — notice search|ニューヨーク市 公報 検索|https://data.cityofnewyork.us/resource/dg92-zbpx.json?$q={q}&$select=:*,*&$order=:id&$limit=1000|https://data.cityofnewyork.us/resource/dg92-zbpx.json?$q=contract&$select=:*,*&$order=:id&$limit=1000|1,105,140 notices published in The City Record, New York City's official journal: procurement solicitations and awards, public hearings, property dispositions and agency rules, with agency, section, short title, dates and full description.|title_keys=short_title;id_keys=:id;date_keys=start_date;page_param=$offset;page_size=1000;timeout_ms=120000
JO29B_CHICAGO_BUILDING_VIOLATIONS_SEARCH|json|any|legal|code-violation|us,chicago,building,violation,inspection,socrata|https://data.cityofchicago.org|Chicago building violations — address/violation search|シカゴ市 建築違反 検索|https://data.cityofchicago.org/resource/22u3-xenr.json?$q={q}&$select=:*,*&$order=:id&$limit=1000|https://data.cityofchicago.org/resource/22u3-xenr.json?$q=porch&$select=:*,*&$order=:id&$limit=1000|2,027,803 building-code violations cited by the Chicago Department of Buildings with violation code, description, ordinance text, inspector comments, violation and inspection status, inspection category, department bureau, date and address with coordinates.|title_keys=violation_description,address;id_keys=:id;date_keys=violation_date;page_param=$offset;page_size=1000
JO29B_DE_RII_BGH|xml|any|legal|court-judgment|germany,bgh,federal-court,judgment,rss|https://www.rechtsprechung-im-internet.de|Rechtsprechung im Internet — Bundesgerichtshof decisions feed|ドイツ連邦通常裁判所 判決フィード|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bgh.xml|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bgh.xml|The federal Ministry of Justice's official case-law portal publishes one RSS feed per supreme federal court. This is the Federal Court of Justice (BGH) feed of newly published decisions, each item with the decision title (court, date, file number), link to the full text and publication date.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;body_keys=description;interval=43200;pagination_ok=RSS window of the most recent decisions, no page parameter
JO29B_DE_RII_BVERWG|xml|any|legal|court-judgment|germany,bverwg,administrative-court,judgment,rss|https://www.rechtsprechung-im-internet.de|Rechtsprechung im Internet — Bundesverwaltungsgericht decisions feed|ドイツ連邦行政裁判所 判決フィード|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bverwg.xml|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bverwg.xml|Federal Administrative Court (BVerwG) feed of newly published decisions from the federal case-law portal, each with title, full-text link and publication date.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;body_keys=description;interval=43200;pagination_ok=RSS window of the most recent decisions, no page parameter
JO29B_DE_RII_BFH|xml|any|legal|court-judgment|germany,bfh,finance-court,tax,judgment,rss|https://www.rechtsprechung-im-internet.de|Rechtsprechung im Internet — Bundesfinanzhof decisions feed|ドイツ連邦財政裁判所 判決フィード|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bfh.xml|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bfh.xml|Federal Finance Court (BFH, tax) feed of newly published decisions from the federal case-law portal.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;body_keys=description;interval=43200;pagination_ok=RSS window of the most recent decisions, no page parameter
JO29B_DE_RII_BAG|xml|any|legal|court-judgment|germany,bag,labour-court,judgment,rss|https://www.rechtsprechung-im-internet.de|Rechtsprechung im Internet — Bundesarbeitsgericht decisions feed|ドイツ連邦労働裁判所 判決フィード|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bag.xml|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bag.xml|Federal Labour Court (BAG) feed of newly published decisions from the federal case-law portal.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;body_keys=description;interval=43200;pagination_ok=RSS window of the most recent decisions, no page parameter
JO29B_DE_RII_BSG|xml|any|legal|court-judgment|germany,bsg,social-court,judgment,rss|https://www.rechtsprechung-im-internet.de|Rechtsprechung im Internet — Bundessozialgericht decisions feed|ドイツ連邦社会裁判所 判決フィード|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bsg.xml|https://www.rechtsprechung-im-internet.de/jportal/docs/feed/bsjrs-bsg.xml|Federal Social Court (BSG) feed of newly published decisions from the federal case-law portal.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;body_keys=description;interval=43200;pagination_ok=RSS window of the most recent decisions, no page parameter
